ADAMS,C:\00_SCO\00_Parcels\V3\05_Distribution\01_County_Data_Distribution\00_V300\V300_Final_Deliverable_2\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed.gdb\V300_WisconsinParcels_2017,GDB,https://uwmadison.box.com/shared/static/bn7q8t1l3y8qhxxxnh6oxifrvotb0zw7.zip,SHP,https://uwmadison.box.com/shared/static/tapvztosjkzsemfdf876izpr358o6hy6.zip
ASHLAND,C:\00_SCO\00_Parcels\V3\05_Distribution\01_County_Data_Distribution\00_V300\V300_Final_Deliverable_2\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed.gdb\V300_WisconsinParcels_2017,GDB,https://uwmadison.box.com/shared/static/1vihv624ej8s3r7lui4stkfa7l6c60tu.zip,SHP,https://uwmadison.box.com/shared/static/wahv537rl4142105sj8pus726a2xycr5.zip
BARRON,C:\00_SCO\00_Parcels\V3\05_Distribution\01_County_Data_Distribution\00_V300\V300_Final_Deliverable_2\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed.gdb\V300_WisconsinParcels_2017,GDB,https://uwmadison.box.com/shared/static/03kzjtxpw4kcvh1w3vlk0006ldm21yea.zip,SHP,https://uwmadison.box.com/shared/static/2750l4b1mngm2xzuqbqdmwzrl6t4l156.zip
BAYFIELD,C:\00_SCO\00_Parcels\V3\05_Distribution\01_County_Data_Distribution\00_V300\V300_Final_Deliverable_2\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed.gdb\V300_WisconsinParcels_2017,GDB,https://uwmadison.box.com/shared/static/1ngeucprga5o953t2yfsx86vt8042i13.zip,SHP,https://uwmadison.box.com/shared/static/85fb41vnqi8rx0nxslvmg4gdix973dof.zip
BROWN,C:\00_SCO\00_Parcels\V3\05_Distribution\01_County_Data_Distribution\00_V300\V300_Final_Deliverable_2\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed.gdb\V300_WisconsinParcels_2017,GDB,https://uwmadison.box.com/shared/static/bxyvjl7f4v4yzvyq7vm4zql4yjlm8owm.zip,SHP,https://uwmadison.box.com/shared/static/db0hzrmdtcxaff4xxdzxpagpn843dvk0.zip
BUFFALO,C:\00_SCO\00_Parcels\V3\05_Distribution\01_County_Data_Distribution\00_V300\V300_Final_Deliverable_2\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed.gdb\V300_WisconsinParcels_2017,GDB,https://uwmadison.box.com/shared/static/8xc5dtdryq3fvzzoz6oeigsoqz1trxlo.zip,SHP,https://uwmadison.box.com/shared/static/9xp7xgs5u4frz0g70gsm8buawyf3xi8g.zip
CALUMET,C:\00_SCO\00_Parcels\V3\05_Distribution\01_County_Data_Distribution\00_V300\V300_Final_Deliverable_2\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed.gdb\V300_WisconsinParcels_2017,GDB,https://uwmadison.box.com/shared/static/v2tmvxlozvt7kcyjrg8cx8oiok9fbk4t.zip,SHP,https://uwmadison.box.com/shared/static/r82vjff993cbar18jw9iic5syphcn6od.zip
CHIPPEWA,C:\00_SCO\00_Parcels\V3\05_Distribution\01_County_Data_Distribution\00_V300\V300_Final_Deliverable_2\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed.gdb\V300_WisconsinParcels_2017,GDB,https://uwmadison.box.com/shared/static/8ocy0gefdy2xhtinseo1qri4q6ysgegf.zip,SHP,https://uwmadison.box.com/shared/static/ni0k4fz8ih1rbidvewixzv4z68xbfslr.zip
CLARK,C:\00_SCO\00_Parcels\V3\05_Distribution\01_County_Data_Distribution\00_V300\V300_Final_Deliverable_2\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed.gdb\V300_WisconsinParcels_2017,GDB,https://uwmadison.box.com/shared/static/k8gomw6v28w2ni8mnyr3xhee3fnswqzi.zip,SHP,https://uwmadison.box.com/shared/static/sezcxw4sf8wiqup5ywoh2dsq2p50spht.zip
COLUMBIA,C:\00_SCO\00_Parcels\V3\05_Distribution\01_County_Data_Distribution\00_V300\V300_Final_Deliverable_2\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed.gdb\V300_WisconsinParcels_2017,GDB,https://uwmadison.box.com/shared/static/sme9fbg3go9nm5u8r0btn13oxs2l2w1i.zip,SHP,https://uwmadison.box.com/shared/static/5v6cmt7ppuqa641rztsfxdqc296zrbmc.zip
CRAWFORD,C:\00_SCO\00_Parcels\V3\05_Distribution\01_County_Data_Distribution\00_V300\V300_Final_Deliverable_2\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed\V3.0.0_Wisconsin_Parcels_2017_10.3_Compressed.gdb\V300_WisconsinParcels_2017,GDB,https://uwmadison.box.com/shared/static/x3msol645aaxdhkbcs3bwfehnurf8zzv.zip,SHP,https://uwmadison.box.com/shared/static/2rsusgmet4zmp03h2h9ekgmegj2eibmn.zip
